check,expected,actual,status,notes
species,Escherichia coli,Escherichia coli,PASS,
antibiotic,Levofloxacin,Levofloxacin,PASS,
predictor_set,"['Country', 'State', 'Gender', 'Age Group', 'Speciality', 'Source', 'In / Out Patient']","['Country', 'State', 'Gender', 'Age Group', 'Speciality', 'Source', 'In / Out Patient']",PASS,
train_years,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]","[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014]",PASS,
val_years,[2015],[2015],PASS,
test_years,"[2016, 2017]","[2016, 2017]",PASS,
calibration_years,[2015],[2015],PASS,
calibration_test_years,"[2016, 2017]","[2016, 2017]",PASS,
risk_boundaries,"(0.3, 0.6)","(0.3, 0.6)",PASS,
encoded_feature_count,217,217,PASS,
