model,test_year,n_test,resistance_rate,ROC-AUC,PR-AUC,precision,recall,F1,Brier,accuracy
Logistic Regression,2011,3311,0.3446088794926004,0.6642534037165233,0.5075762662443626,0.4653603918824353,0.5828220858895705,0.5175097276264592,0.2252491350256006,0.625490788281486
Logistic Regression,2012,6314,0.3517579980994615,0.6814346717960942,0.52612290485311,0.4537168897749928,0.7172444844664565,0.5558269364968598,0.2369328926201236,0.5967690845739626
Logistic Regression,2013,8637,0.330901933541739,0.6686961769230089,0.4979923525884773,0.4314616958399636,0.6641007697690693,0.52308116301502,0.2352150716065536,0.5992821581567674
Logistic Regression,2014,7976,0.3566950852557673,0.6914457727744003,0.5424819462330388,0.4915481620606385,0.6439367311072056,0.5575167376749848,0.2248769048182718,0.6354062186559679
Logistic Regression,2015,7556,0.3577289571201694,0.6890373503381968,0.547318325520248,0.4795676245715792,0.6729559748427673,0.5600369458128078,0.2297818863857373,0.6217575436739016
Logistic Regression,2016,8616,0.3676880222841225,0.6990526652816713,0.5695055174453094,0.5027231825716315,0.6701388888888888,0.574482478690299,0.2247612428428823,0.6349814298978644
Logistic Regression,2017,7159,0.3337058248358709,0.6809832890615882,0.5110460309625797,0.4525923804067602,0.6613645876935956,0.5374149659863946,0.2290086795697965,0.6200586674116497
Random Forest,2011,3311,0.3446088794926004,0.620088490571372,0.4507082343204955,0.4812775330396476,0.382997370727432,0.4265495363591996,0.2354519250630349,0.6451223195409241
Random Forest,2012,6314,0.3517579980994615,0.6393590136925663,0.468073044853483,0.4754948162111216,0.4542998649257091,0.4646557679023716,0.234775226948115,0.6317706683560342
Random Forest,2013,8637,0.330901933541739,0.6247901326089454,0.4424040754104457,0.441837076768354,0.4611616515045486,0.4512925868858072,0.2427122959159101,0.6289220794257265
Random Forest,2014,7976,0.3566950852557673,0.6311551241480248,0.4756145919088621,0.4708835341365462,0.4945518453427065,0.4824275672895594,0.2445159309700618,0.6214894684052157
Random Forest,2015,7556,0.3577289571201694,0.6407599862140035,0.4851687377479327,0.4778645833333333,0.5431002589715132,0.5083982683982684,0.2445742504510993,0.6242721016410799
Random Forest,2016,8616,0.3676880222841225,0.6456806037615509,0.5074475170558183,0.4945985401459854,0.5347222222222222,0.513878355831943,0.2429954509693383,0.6280176415970288
Random Forest,2017,7159,0.3337058248358709,0.6441291014985701,0.4660720152259638,0.4493827160493827,0.5332775219757221,0.4877488514548239,0.2372484635497868,0.6262047772035201
XGBoost,2011,3311,0.3446088794926004,0.6567072702819501,0.4909764877761983,0.4658664666166541,0.544259421560035,0.502021018593371,0.2245525866746902,0.627906976744186
XGBoost,2012,6314,0.3517579980994615,0.6788567758199089,0.5213772437189332,0.4678899082568807,0.6659162539396668,0.5496098104793757,0.2312489598989486,0.6160912258473235
XGBoost,2013,8637,0.330901933541739,0.6747033944843368,0.5031894999851106,0.4356705241660993,0.6717984604618614,0.52856159669649,0.2314479202032089,0.6034502720852147
XGBoost,2014,7976,0.3566950852557673,0.7005564919667112,0.5561312275530853,0.487345041322314,0.6632688927943761,0.5618579723090665,0.2238891422748565,0.6310180541624875
XGBoost,2015,7556,0.3577289571201694,0.6933288172836327,0.5519718992470963,0.4844850065189048,0.6873843877173511,0.5683695319669624,0.2283658385276794,0.6265219692959237
XGBoost,2016,8616,0.3676880222841225,0.700665712048903,0.5711365585637744,0.5014218009478673,0.6679292929292929,0.5728207904710341,0.2236620038747787,0.6337047353760445
XGBoost,2017,7159,0.3337058248358709,0.688833296915545,0.5201474273534237,0.4505773021684032,0.6697362913352868,0.5387205387205387,0.2262836545705795,0.6172649811426176
